"","법정동명","빈도","행정동명","총인구수","비율"
"1","이동",84,"칠산서부동",542,15.5
"2","부원동",461,"부원동",10315,4.47
"3","풍유동",44,"칠산서부동",1118,3.94
"4","명법동",9,"칠산서부동",292,3.08
"5","봉황동",138,"회현동",6683,2.06
"6","불암동",19,"불암동",1095,1.74
"7","내동",553,"내외동",33014,1.68
"8","흥동",61,"칠산서부동",3686,1.65
"9","동상동",150,"동상동",10253,1.46
"10","삼계동",699,"북부동",47959,1.46
"11","전하동",42,"칠산서부동",2887,1.45
"12","지내동",106,"불암동",7463,1.42
"13","대성동",70,"북부동",5076,1.38
"14","서상동",21,"회현동",1751,1.2
"15","구산동",364,"북부동",32246,1.13
"16","외동",571,"내외동",50371,1.13
"17","화목동",14,"칠산서부동",1406,1
"18","상동면",34,"상동면",3566,0.95
"19","주촌면",32,"주촌면",3358,0.95
"20","생림면",28,"생림면",4227,0.66
"21","삼정동",122,"활천동",19895,0.61
"22","어방동",154,"활천동",25918,0.59
"23","진영읍",272,"진영읍",46845,0.58
"24","삼방동",168,"삼안동",32568,0.52
"25","안동",37,"삼안동",7292,0.51
"26","장유면",701,"장유동",144931,0.48
"27","한림면",32,"한림면",8837,0.36
"28","강동",1,"칠산서부동",283,0.35
"29","진례면",27,"진례면",7776,0.35
"30","대동면",15,"대동면",7166,0.21
