"","처리부서","최소값","중앙값","평균값","최대값","표준편차"
"1","불암동",0,0,0,0,NaN
"2","평생교육사업소 교육도시육성과",0,0,0,0,0
"3","평생교육사업소 장유도서관",0,1,1,2,1.4142
"4","혁신경제국 납세과",1,1,1,1,NaN
"5","장유3동",0,1,1.1923,5,1.5753
"6","북부동",0,1,1.2683,7,1.5973
"7","삼안동",0,1,1.5,8,2.3549
"8","동상동",0,2,1.7391,7,1.0632
"9","농업기술센터 기술지원과",0,1,1.75,5,2.3629
"10","도시관리국 도시계획과",0,1,1.85,8,2.131
"11","주촌면",1,2,2,3,1
"12","행정자치국 기획예산과",2,2,2,2,NaN
"13","도시관리국 도시개발과",0,1,2.4444,7,2.833
"14","차량등록사업소",0,2,2.5,7,2.7988
"15","혁신경제국 세무과",0,3.5,2.6667,4,1.7512
"16","문화관광사업소 문화재과",0,3,2.8,6,2.2998
"17","장유출장소 도시관리과",0,2,2.9905,12,2.335
"18","보건소 장유건강지원센터",1,3,3,5,2.8284
"19","안전건설교통국 안전총괄과",0,3,3.0303,8,2.1576
"20","시민복지국 시민복지과",0,3,3.2393,11,2.8028
"21","시민복지국 생활안정과",0,3,3.25,7,3.304
"22","활천동",0,3,3.25,8,2.7646
"23","부원동",1,3,3.3846,7,2.1031
"24","문화관광사업소 문화예술과",0,3,3.4375,8,2.7561
"25","안전건설교통국 경전철혁신과",0,3,3.5873,10,3.0259
"26","환경위생국 친환경생태과",0,4,3.7273,8,3.003
"27","한림면",0,3,3.8,8,3.5637
"28","혁신경제국 토지정보과",1,3,3.875,7,2.4165
"29","안전건설교통국 도로과",0,4,3.9883,10,2.618
"30","진례면",4,4,4,4,NaN
"31","행정자치국 회계과",4,4,4,4,NaN
"32","시민복지국 체육지원과",0,4,4.1538,8,2.8532
"33","안전건설교통국 교통관리과",0,4,4.1572,12,2.5313
"34","도시관리국 허가민원과",0,4,4.1744,12,3.6111
"35","도시관리국 공동주택관리과",0,4,4.3596,11,3.0428
"36","내외동",0,4,4.3947,10,2.8382
"37","농업기술센터 농업경영과",2,4.5,4.5,7,3.5355
"38","안전건설교통국 건설과",0,5,4.5556,11,2.9869
"39","환경위생국 환경관리과",0,5,4.6609,10,2.6053
"40","보건소 보건관리과",0,4,4.7407,10,2.9167
"41","행정자치국 총무과",0,5,4.75,9,4.0311
"42","칠산서부동",3,5,4.8,7,1.5492
"43","도시관리국 디자인건축과",0,6,4.9216,11,2.6672
"44","상하수도사업소 수도과",0,5,4.9524,10,3.1061
"45","혁신경제국 일자리창출과",0,6,5,12,3.0472
"46","환경위생국 청소과",0,6,5.1811,11,2.9719
"47","환경위생국 위생과",0,6,5.2,9,2.3985
"48","상하수도사업소 하수과",0,5,5.2283,10,2.5639
"49","장유출장소 생활지원과",0,6,5.3829,11,2.2153
"50","농업기술센터 농축산과",0,7,5.4839,11,3.1185
"51","농업기술센터 공원녹지과",0,6,5.496,12,3.1073
"52","평생교육사업소 칠암도서관",5,5.5,5.5,6,0.7071
"53","장유2동",0,5.5,5.5455,11,3.4327
"54","문화관광사업소 관광과",1,6,5.7143,9,2.0164
"55","시민복지국 여성아동과",0,7,5.7143,11,4.2323
"56","장유1동",0,7,5.7857,10,2.82
"57","혁신경제국 투자유치과",0,6.5,6,10,3.9497
"58","보건소 방문건강과",2,7,6.1364,10,1.9832
"59","진영읍",0,7,6.4103,11,2.5723
"60","장유출장소 서무과",0,7,6.783,12,2.5967
"61","대동면",7,7,7,7,0
"62","생림면",7,7,7,7,NaN
"63","회현동",7,7,7,7,NaN
"64","행정자치국 정보통신과",2,8,7,11,3.3166
"65","감사담당관",0,8,7.3889,11,2.7683
"66","",NA,NA,NaN,NA,NaN
